model,hidden_layers,hidden_nodes,epochs,batch_size,learning_rate,weight_decay,train_acc,valid_acc,,,,,,,,,
8408,2,24,502,16,0.0002,1.00E-06,90.13452915,75.67567568,,,,,,,,,
8609,2,24,18,16,0.08,1.00E-06,93.2735426,75.67567568,,,,,,,,,
8634,2,24,45,16,0.1,1.00E-05,90.13452915,75.67567568,,,,,,,,,
8699,2,24,239,32,0.0008,2.00E-05,94.61883408,75.67567568,,,,,,,,,
9034,2,36,21,4,0.01,1.00E-05,90.58295964,75.67567568,,,,,,,,,
9072,2,36,27,4,0.04,1.00E-05,93.2735426,75.67567568,,,,,,,,,
9092,2,36,109,4,0.08,1.00E-05,93.72197309,75.67567568,,,,,,,,,
9105,2,36,138,4,0.1,0,92.82511211,75.67567568,,,,,,,,,
9128,2,36,351,8,0.0002,1.00E-06,90.58295964,75.67567568,,,,,,,,,
9137,2,36,326,8,0.0002,2.00E-05,90.58295964,75.67567568,,,,,,,,,
9427,2,36,101,16,0.001,1.00E-06,92.37668161,75.67567568,,,,,,,,,
9467,2,36,27,16,0.004,1.00E-06,90.58295964,75.67567568,,,,,,,,,
9516,2,36,17,16,0.01,2.00E-05,95.06726457,75.67567568,,,,,,,,,
9652,2,36,154,32,0.0008,1.00E-05,90.13452915,75.67567568,,,,,,,,,
9664,2,36,131,32,0.001,0,91.47982063,75.67567568,,,,,,,,,
9735,2,36,23,32,0.008,1.00E-05,95.96412556,75.67567568,,,,,,,,,
9895,3,6,529,4,0.0008,1.00E-05,90.13452915,75.67567568,,,,,,,,,
9960,3,6,106,4,0.004,2.00E-05,90.58295964,75.67567568,,,,,,,,,
9983,3,6,1105,4,0.01,0,90.13452915,75.67567568,,,,,,,,,
9984,3,6,441,4,0.01,0,91.03139013,75.67567568,,,,,,,,,
9987,3,6,587,4,0.01,1.00E-06,92.37668161,75.67567568,,,,,,,,,
10039,3,6,1499,4,0.04,2.00E-05,79.8206278,75.67567568,,,,,,,,,
10120,3,6,1077,8,0.0004,2.00E-05,90.13452915,75.67567568,,,,,,,,,
10150,3,6,372,8,0.001,1.00E-06,90.58295964,75.67567568,,,,,,,,,
10216,3,6,132,8,0.008,2.00E-05,91.92825112,75.67567568,,,,,,,,,
10257,3,6,238,8,0.02,2.00E-05,92.37668161,75.67567568,,,,,,,,,
10259,3,6,634,8,0.02,2.00E-05,90.13452915,75.67567568,,,,,,,,,
10296,3,6,1499,8,0.08,2.00E-05,70.40358744,75.67567568,,,,,,,,,
10321,3,6,1499,16,0.0002,0,83.85650224,75.67567568,,,,,,,,,
10322,3,6,1499,16,0.0002,0,84.30493274,75.67567568,,,,,,,,,
10381,3,6,439,16,0.001,0,90.13452915,75.67567568,,,,,,,,,
10413,3,6,322,16,0.002,1.00E-05,90.13452915,75.67567568,,,,,,,,,
10515,3,6,435,16,0.04,1.00E-05,90.13452915,75.67567568,,,,,,,,,
10530,3,6,1499,16,0.08,1.00E-06,71.30044843,75.67567568,,,,,,,,,
10536,3,6,1499,16,0.08,2.00E-05,75.78475336,75.67567568,,,,,,,,,
10618,3,6,764,32,0.0008,2.00E-05,90.13452915,75.67567568,,,,,,,,,
10628,3,6,1167,32,0.001,1.00E-06,90.13452915,75.67567568,,,,,,,,,
10631,3,6,617,32,0.001,1.00E-05,90.13452915,75.67567568,,,,,,,,,
